iter	RMSE
0	0.507685053
1	0.4900354225
2	0.4739407316
3	0.4582191121
4	0.4426812364
5	0.4282983642
6	0.4150013569
7	0.4018042204
8	0.3895462049
9	0.3774777942
10	0.3668748039
11	0.3567717396
12	0.3468626185
13	0.3381453584
14	0.3294163058
15	0.3214950192
16	0.3143811921
17	0.3072973398
18	0.3003890803
19	0.294024456
20	0.288179451
21	0.2826327965
22	0.2773381024
23	0.2722724593
24	0.2670206808
25	0.2620897593
26	0.2577925291
27	0.2536081947
28	0.2496998086
29	0.2460634562
30	0.2426290877
31	0.2393835559
32	0.236086931
33	0.2331825603
34	0.230515682
35	0.2279956644
36	0.2258301911
37	0.2232436763
38	0.220645912
39	0.2183444878
40	0.2162875761
41	0.2141202468
42	0.2123482905
43	0.2107745421
44	0.2088476753
45	0.2068136489
46	0.2051623087
47	0.2038795414
48	0.2023151592
49	0.201081767
50	0.1998486681
51	0.1981833516
52	0.1966541987
53	0.1953661413
54	0.1945181047
55	0.1934676136
56	0.192749245
57	0.1917704974
58	0.1909724715
59	0.1901308256
60	0.1893131384
61	0.1885895957
62	0.1879293998
63	0.1868709903
64	0.1859809258
65	0.1853425418
66	0.1847294149
67	0.1841869129
68	0.1837217033
69	0.1831677735
70	0.1825976165
71	0.1819621592
72	0.1813094951
73	0.1808721295
74	0.1805173935
75	0.1801495414
76	0.1797070613
77	0.1793066581
78	0.1789420846
79	0.1785120989
80	0.1780406815
81	0.1776253066
82	0.177176192
83	0.1766555447
84	0.1763014761
85	0.1758964891
86	0.1755326553
87	0.1751928721
88	0.1749483022
89	0.174659654
90	0.1742525426
91	0.173841143
92	0.1734694896
93	0.1732195264
94	0.1730281873
95	0.1727540967
96	0.1724632457
97	0.1722448515
98	0.1719207377
99	0.1717066373
100	0.1715310271
101	0.1711609112
102	0.1708655627
103	0.1706515589
104	0.1703606537
105	0.1702130636
106	0.1700085178
107	0.1698275958
108	0.1696379932
109	0.1692666449
110	0.1691016724
111	0.1689249745
112	0.1687320161
113	0.1684977389
114	0.1683185306
115	0.1681575658
116	0.1680233079
117	0.1677607507
118	0.1675557196
119	0.1673508797
120	0.1672339769
121	0.1670654961
122	0.166807214
123	0.1666436086
124	0.1664905546
125	0.1661756046
126	0.1660239478
127	0.1658915414
128	0.1657202154
129	0.1654669829
130	0.1652369583
131	0.1650744343
132	0.1648736005
133	0.1647069203
134	0.1645074294
135	0.1643556948
136	0.1642273552
137	0.1641114237
138	0.1639841513
139	0.1638035564
140	0.1636581056
141	0.1634812973
142	0.1633467054
143	0.163248013
144	0.1629692306
145	0.1628733953
146	0.1627191994
147	0.1626271017
148	0.1625175167
149	0.1624206794
150	0.1621378752
151	0.1619610866
152	0.1618328054
153	0.1617067212
154	0.161558197
155	0.1613804132
156	0.1612537547
157	0.1610708738
158	0.1609456199
159	0.1608334171
160	0.1606796889
161	0.160543943
162	0.1604491114
163	0.1603780518
164	0.1601289218
165	0.1599866467
166	0.1599130927
167	0.1597441854
168	0.1596631087
169	0.1595666864
170	0.1594143121
171	0.1592512619
172	0.1591723189
173	0.1590644602
174	0.1589267265
175	0.1588251462
176	0.1587377145
177	0.1585810164
178	0.1584584086
179	0.1583525968
180	0.1582506833
181	0.1581078456
182	0.1579144183
183	0.1577864902
184	0.1577239317
185	0.1576322573
186	0.1575602
187	0.1574868883
188	0.1573882782
189	0.1571942765
190	0.1570600319
191	0.1569382073
192	0.1567856147
193	0.1566586156
194	0.1565613804
195	0.1563481045
196	0.1562556937
197	0.156124946
198	0.1560565659
199	0.1559841359
200	0.1558537391
201	0.1557604687
202	0.1555500201
203	0.1554218272
204	0.1553094727
205	0.1552022521
206	0.1550460374
207	0.1549091202
208	0.1547202151
209	0.1545522341
210	0.1544856433
211	0.1543214561
212	0.1541841251
213	0.1540039913
214	0.1538041264
215	0.1537214579
216	0.1535681388
217	0.1533763178
218	0.1531931776
219	0.1530718262
220	0.1529652258
221	0.1528283695
222	0.1526928566
223	0.152575499
224	0.1524599708
225	0.1524300663
226	0.1523658931
227	0.1522082153
228	0.1521085048
229	0.1520164704
230	0.1519234715
231	0.1518299159
232	0.1516666233
233	0.151558263
234	0.151485787
235	0.1513248785
236	0.1512225667
237	0.1510967738
238	0.1509340672
239	0.1507996808
240	0.1507019653
241	0.1506799974
242	0.1505743779
243	0.1504584454
244	0.1503663156
245	0.1502771705
246	0.150199275
247	0.1500366918
248	0.1499747243
249	0.149852894
250	0.1497673988
251	0.1496194573
252	0.1495376301
253	0.1494113946
254	0.1492913648
255	0.1491826539
256	0.1491005484
257	0.1489958651
258	0.1488180852
259	0.1487059568
260	0.1486266428
261	0.1485025958
262	0.148385725
263	0.148292717
264	0.1482000573
265	0.1481228075
266	0.1480260793
267	0.1478929565
268	0.1477606741
269	0.1476958941
270	0.1476143591
271	0.1475058108
272	0.1474197745
273	0.1473495362
274	0.1472506109
275	0.1471526453
276	0.1470422275
277	0.1469774283
278	0.1469223302
279	0.1468153764
280	0.146682093
281	0.1465970365
282	0.1465431877
283	0.1464937186
284	0.1464448872
285	0.1462842795
286	0.1461837461
287	0.1460379074
288	0.1459808776
289	0.1458995747
290	0.1457782328
291	0.1457364648
292	0.1456285405
293	0.1455681294
294	0.1454664165
295	0.1453731965
296	0.1452851522
297	0.1452202388
298	0.1450846141
299	0.1449598645
300	0.1448454466
301	0.1447529421
302	0.1447271146
303	0.1446280018
304	0.1445942113
305	0.144529127
306	0.1443915621
307	0.1443513629
308	0.1442855091
309	0.1442351305
310	0.1441584214
311	0.1440349288
312	0.1439240158
313	0.143876878
314	0.1438014283
315	0.1437006105
316	0.1436302897
317	0.1435979934
318	0.1435065261
319	0.143420527
320	0.1433350823
321	0.1432653112
322	0.143200482
323	0.1430914422
324	0.143023992
325	0.1429116048
326	0.1428615929
327	0.1427754934
328	0.1426681834
329	0.1425908393
330	0.1425318293
331	0.1424611682
332	0.1423870772
333	0.1422862113
334	0.142202991
335	0.1420826792
336	0.1420326956
337	0.1419596458
338	0.141837436
339	0.1417331015
340	0.1417087846
341	0.1416516378
342	0.1415634285
343	0.1415096139
344	0.141450878
345	0.1414144112
346	0.1413454321
347	0.1412896878
348	0.1412435001
349	0.1411728863
350	0.1410631513
351	0.1409807968
352	0.140899369
353	0.1408277739
354	0.1407280367
355	0.1406099233
356	0.1405509868
357	0.1404616078
358	0.1404009138
359	0.1402641289
360	0.1402391527
361	0.1401938059
362	0.140052531
363	0.1399845453
364	0.1399220856
365	0.1398414222
366	0.1397893961
367	0.1397666702
368	0.1397023208
369	0.1396569158
370	0.1395867892
371	0.1395468323
372	0.139459751
373	0.1394092691
374	0.1393290973
375	0.1392470595
376	0.1391724391
377	0.1391511312
378	0.1390835822
379	0.1390158696
380	0.1389521456
381	0.1388486344
382	0.1387600409
383	0.1387547092
384	0.1386568857
385	0.1385816122
386	0.1384804682
387	0.1384252782
388	0.1383494479
389	0.1382682789
390	0.1381993779
391	0.1381435885
392	0.1380161371
393	0.1379254326
394	0.1378822032
395	0.1378261172
396	0.1377743776
397	0.1377266139
398	0.1376595885
399	0.1375834124
400	0.1375197125
401	0.137480015
402	0.1374095881
403	0.1373186774
404	0.1372032823
405	0.1371004298
406	0.1370476323
407	0.1370351784
408	0.1369641357
409	0.1368867909
410	0.1368044401
411	0.1367535967
412	0.1366797233
413	0.1366083864
414	0.1365443707
415	0.1364609114
416	0.1364067162
417	0.1363315257
418	0.1362486712
419	0.1362022181
420	0.136134443
