Feature,N_Outliers,Pct_Outliers,Lower_Bound,Upper_Bound
sqft_lot,1799,11.098772287001049,-3436.5,19071.5
sqft_lot15,1627,10.03763341353569,-2334.5,17485.5
view,1605,9.901906348325005,0.0,0.0
grade,1431,8.828428650749583,5.5,9.5
price,850,5.244000246776483,-160000.0,1120000.0
yr_renovated,672,4.145844900980936,0.0,0.0
sqft_above,473,2.9181319020297365,-300.0,3700.0
sqft_living,413,2.547967178727867,-250.0,4230.0
bedrooms,390,2.4060707014621507,1.5,5.5
sqft_living15,380,2.344376580911839,160.0,3680.0
sqft_basement,354,2.183971867481029,-840.0,1400.0
bathrooms,194,1.196865938676044,0.0,4.0
long,180,1.110494169905608,-122.63250000000001,-121.8205
waterfront,113,0.6971435622185206,0.0,0.0
condition,25,0.1542353013757789,1.5,5.5
lat,2,0.012338824110062312,47.16395,47.98675
yr_built,0,0.0,1884.5,2064.5
floors,0,0.0,-0.5,3.5
zipcode,0,0.0,97907.0,98243.0
