,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
bedrooms,1.0,0.5126583638886075,0.5711982708045299,0.031287502688416916,0.17244507822487537,-0.013954807277975075,0.06725587652171426,0.026110809692702606,0.3514765031146461,0.47179697723120767,0.29719559272590057,0.14864421003643613,0.02014272163214329,-0.1545178305810912,-0.015273752294774706,0.1268620698573871,0.3833907410494743,0.0241004877700021,0.30445351379583047
bathrooms,0.5126583638886075,1.0,0.7519451014246487,0.08315726803687296,0.5040678757140348,0.0556921811448085,0.17756588959662498,-0.12707251423175248,0.6646273419867533,0.6831002656520587,0.2750469835052396,0.5037870899116644,0.052242644024457004,-0.2034596066021809,0.024899166212687875,0.22271108091075834,0.5637933299842591,0.07593375496195912,0.5254872795461214
sqft_living,0.5711982708045299,0.7519451014246487,1.0,0.172948690729479,0.3484175290740153,0.08884252692888527,0.27441557709165626,-0.06018156506298646,0.7609251614058019,0.8758303789628912,0.42689077851209106,0.3151319952938188,0.05648586460569446,-0.20442506395095592,0.05200770761907851,0.2440827014780764,0.7549312977076849,0.1726544205555048,0.7009326433795015
sqft_lot,0.031287502688416916,0.08315726803687296,0.172948690729479,1.0,-0.00556799227576131,0.026971836259442612,0.06182421089739326,-0.012142566728039886,0.11359123921025843,0.18306844497095398,0.01462985873074025,0.04996686911646219,0.0175122315974572,-0.13608109096802867,-0.08242150344581126,0.24586777925719033,0.1559028363731635,0.7209811116639457,0.0885264611642912
floors,0.17244507822487537,0.5040678757140348,0.3484175290740153,-0.00556799227576131,1.0,0.01451855295322211,0.024111120295113687,-0.26972159191637807,0.45788575328272596,0.5184042889795893,-0.25083838953335313,0.49804281378278054,0.006271566170988032,-0.05806050208685847,0.051717705704049266,0.1254639573560873,0.2715687254087813,-0.013305964042547913,0.2514279519465134
waterfront,-0.013954807277975075,0.0556921811448085,0.08884252692888527,0.026971836259442612,0.01451855295322211,1.0,0.38333975478885596,0.019246704134603315,0.06092276672429469,0.05747096901641324,0.0760379793884787,-0.037141646356758734,0.09007158817857183,0.027806901270478412,-0.016475371446597987,-0.04177520398987545,0.07169128275336892,0.033117962898001056,0.2452213867137322
view,0.06725587652171426,0.17756588959662498,0.27441557709165626,0.06182421089739326,0.024111120295113687,0.38333975478885596,1.0,0.048312249518286526,0.24250568845143924,0.15791900830161582,0.2715838947938642,-0.05937815338817907,0.10023461576725899,0.08606401791214736,0.0036943471187507767,-0.08515923916107676,0.2773484894112252,0.06448466962531338,0.39053430627481556
condition,0.026110809692702606,-0.12707251423175248,-0.06018156506298646,-0.012142566728039886,-0.26972159191637807,0.019246704134603315,0.048312249518286526,1.0,-0.14682866333140715,-0.16018381778558174,0.17568933195076575,-0.3627232309763167,-0.05891254814802797,0.004477430383381918,-0.022306579599020104,-0.11126427106998318,-0.09636831136929491,-0.008104249771785171,0.03133269399871804
grade,0.3514765031146461,0.6646273419867533,0.7609251614058019,0.11359123921025843,0.45788575328272596,0.06092276672429469,0.24250568845143924,-0.14682866333140715,1.0,0.7530115695578475,0.16262179057126383,0.44637509296731886,0.01580984205704402,-0.18333796611386444,0.1170569575411896,0.20037494381820278,0.7073713843639835,0.112787696984895,0.6642660586099329
sqft_above,0.47179697723120767,0.6831002656520587,0.8758303789628912,0.18306844497095398,0.5184042889795893,0.05747096901641324,0.15791900830161582,-0.16018381778558174,0.7530115695578475,1.0,-0.06255003502914909,0.42278373799883234,0.023942911424813612,-0.26615633399753447,-0.004202541643229189,0.35049157222175953,0.7296254375596359,0.1837037753422285,0.6026482589023396
